Movie Title;Director;Running time;Main Actor;Genre;Budget;Box Office;Release year
High Heels and Low Lifes;Mel Smith;86;Minnie Driver;Action;10000000;612000000;2001
Shooter;Antoine Fuqua;124;Tate Donovan;Action;61000000;95000000;2007
Sleepover;Joe Nussbaum;89;Steve Carell;Comedy;10000000;9000000;2004
The Midnight Meat Train;RyÃ»hei Kitamura;103;Bradley Cooper;Horror;15000000;1500000;2008
Underdogs;Juan José Campanella;106;Pablo Rago;Animation;22000000;1100000;2013
After;Ryan Smith;90;Sandra Ellis Lafferty;Horror;650000;100000;2012
Narc;Joe Carnahan;105;Jason Patric;Crime;7500000;10300000;2002
The Haunted Mansion;Rob Minkoff;88;Marsha Thomason;Comedy;90000000;182000000;2003
The Hundred-Foot Journey;Lasse Hallström;122;Manish Dayal;Comedy;22000000;89500000;2014
The Singles Ward;Kurt Hale;102;Kirby Heyborne;Comedy;500000;1100000;2002
The Smurfs;Raja Gosnell;103;Mahadeo Shivraj;Animation;110000000;563000000;2011
Gothika;Mathieu Kassovitz;98;Robert Downey Jr.;Horror;40000000;68600000;2003
Our Family Wedding;Rick Famuyiwa;103;America Ferrera;Comedy;14000000;20600000;2010
The Magic Flute;Kenneth Branagh;135;Kim-Marie Woodhouse;Drama;27000000;21000000;2006
The Phantom of the Opera;Joel Schumacher;143;Gerard Butler;Drama;70000000;154000000;2004
Code 46;Michael Winterbottom;93;Samantha Morton;Drama;7500000;700000;2003
Miss Potter;Chris Noonan;88;Emily Watson;Biography;30000000;35000000;2006
Room;Lenny Abrahamson;118;Joan Allen;Drama;13000000;36000000;2015
The Legend of Zorro;Martin Campbell;129;Michael Emerson;Action;75000000;250000000;2005
Rabbit Hole;John Cameron Mitchell;91;Dianne Wiest;Drama;5000000;5000000;2010
Thumbsucker;Mike Mills;96;Kelli Garner;Comedy;4000000;1000000;2005
Unfinished Business;Ken Scott;91;Tom Wilkinson;Comedy;35000000;14000000;2015
Automata;Gabe Ibáñez;109;Birgitte Hjort Sørensen;Sci-Fi;7000000;1400000;2014
Hereafter;Clint Eastwood;129;Matt Damon;Drama;50000000;105000000;2010
Lakeview Terrace;Neil LaBute;110;Jay Hernandez;Crime;22000000;44000000;2008
Thirteen Conversations About One Thing;Jill Sprecher;104;Matthew McConaughey;Drama;4500000;40000000;2001
Serenity;Joss Whedon;119;Adam Baldwin;Action;40000000;39500000;2005
The Notebook;Nick Cassavetes;123;Ryan Gosling;Drama;29000000;116000000;2004
The Others;Alejandro Amenábar;101;Fionnula Flanagan;Horror;17000000;209000000;2001
Ballistic: Ecks vs. Sever;Wych Kaosayananda;91;Talisa Soto;Action;70000000;20000000;2002
Hellboy II: The Golden Army;Guillermo del Toro;120;Seth MacFarlane;Action;85000000;160000000;2008
Sahara;Breck Eisner;124;Matthew McConaughey;Action;130000000;121000000;2005
The Brothers Grimm;Terry Gilliam;118;Matt Damon;Action;88000000;105000000;2005
The Master;Paul Thomas Anderson;144;Mike Howard;Drama;32000000;32000000;2012
An Everlasting Piece;Barry Levinson;103;Anna Friel;Comedy;14000000;75000;2000
Bedtime Stories;Adam Shankman;99;Adam Sandler;Comedy;80000000;212000000;2008
Bridget Jones's Diary;Sharon Maguire;97;Colin Firth;Comedy;26000000;282000000;2001
Fifty Shades of Black;Michael Tiddes;92;Fred Willard;Comedy;5000000;13000000;2016
Two Weeks Notice;Marc Lawrence;101;Dorian Missick;Comedy;60000000;200000000;2002
My Dog Skip;Jay Russell;95;Clint Howard;Drama;5000000;34300000;2000
Rio 2;Carlos Saldanha;101;Miguel Ferrer;Animation;103000000;500000000;2014
The Crocodile Hunter: Collision Course;John Stainton;90;Steve Irwin;Action;13000000;33000000;2002
Abduction;John Singleton;106;Ken Arnold;Action;35000000;50000000;2011
Finding Neverland;Marc Forster;101;Johnny Depp;Biography;25000000;116000000;2004
Going the Distance;Nanette Burstein;102;Rob Riggle;Comedy;32000000;20000000;2010
Samsara;Ron Fricke;102;Collin Alfredo St. Dic;Documentary;4000000;1800000;2011
Sinbad: Legend of the Seven Seas;Patrick Gilmore;85;Brad Pitt;Animation;60000000;80000000;2003
The Jungle Book;Jon Favreau;106;Scarlett Johansson;Adventure;175000000;967000000;2016
Heaven Is for Real;Randall Wallace;99;Jacob Vargas;Biography;12000000;101000000;2014
The Wackness;Jonathan Levine;99;Mary-Kate Olsen;Comedy;6000000;2800000;2008
Warm Bodies;Jonathan Levine;98;Cory Hardrict;Comedy;35000000;117000000;2013
127 Hours;Danny Boyle;94;James Franco;Biography;18000000;61000000;2010
Devil's Due;Matt Bettinelli-Olpin;89;Zach Gilford;Horror;7000000;36000000;2014
Reign of Fire;Rob Bowman;101;Christian Bale;Action;60000000;80000000;2002
Robots;Chris Wedge;91;Jim Broadbent;Animation;75000000;260000000;2005
Zathura: A Space Adventure;Jon Favreau;101;Kristen Stewart;Action;65000000;64000000;2005
Smokin' Aces;Joe Carnahan;109;Ryan Reynolds;Action;17000000;57000000;2006
Sweet November;Pat O'Connor;119;Keanu Reeves;Drama;40000000;67000000;2001
Winnie the Pooh;Stephen J. Anderson;63;Craig Ferguson;Animation;30000000;72000000;2011
Florence Foster Jenkins;Stephen Frears;110;Meryl Streep;Biography;29000000;44000000;2016
Land of the Lost;Brad Silberling;102;Will Ferrell;Adventure;100000000;69000000;2009
Year One;Harold Ramis;100;Olivia Wilde;Adventure;60000000;60000000;2009
See Spot Run;John Whitesell;94;Leslie Bibb;Action;35000000;37000000;2001
Snakes on a Plane;David R. Ellis;105;Lin Shaye;Action;33000000;62000000;2006
Blades of Glory;Josh Gordon;93;Will Ferrell;Comedy;61000000;146000000;2007
Theresa Is a Mother;C. Fraser Press;105;Elaine Bromka;Comedy;200000;1700000;2012
The Ides of March;George Clooney;101;Ryan Gosling;Drama;12500000;41000000;2011
RED 2;Dean Parisot;116;Bruce Willis;Action;84000000;148000000;2013
Georgia Rule;Garry Marshall;113;Hector Elizondo;Comedy;20000000;41000000;2007
Get Carter;Stephen Kay;102;Sylvester Stallone;Action;40000000;19400000;2000
The Eye;David Moreau;92;Chloë Grace Moretz;Horror;12000000;56000000;2008
15 Minutes;John Herzfeld;120;Robert De Niro;Action;42000000;101000000;2001
Fiza;Khalid Mohamed;167;Karisma Kapoor;Drama;1000000;26300000;2000
Nanny McPhee;Kirk Jones;97;Colin Firth;Comedy;25000000;122000000;2005
Youth in Revolt;Miguel Arteta;90;Steve Buscemi;Comedy;18000000;19300000;2009
Made;Jon Favreau;95;Jon Favreau;Comedy;5000000;5400000;2001
Priest;Scott Stewart;87;Josh Wingate;Action;60000000;30000000;2011
The 33;Patricia Riggen;127;Marco Treviño;Biography;26000000;26000000;2015
U-571;Jonathan Mostow;116;Matthew McConaughey;Action;62000000;130000000;2000
Endless Love;Shana Feste;104;Alex Pettyfer;Drama;20000000;23000000;2014
Married Life;Ira Sachs;91;David Richmond-Peck;Crime;12000000;3000000;2007
One Direction: This Is Us;Morgan Spurlock;106;Harry Styles;Documentary;10000000;73000000;2013
Red Eye;Wes Craven;85;Robert Pine;Thriller;26000000;95000000;2005
The Iceman;Ariel Vromen;106;Chris Evans;Biography;10000000;3000000;2012
Hedwig and the Angry Inch;John Cameron Mitchell;95;John Cameron Mitchell;Comedy;6000000;3000000;2001
Goosebumps;Rob Letterman;103;Odeya Rush;Adventure;58000000;158000000;2015
The Avengers;Joss Whedon;173;Chris Hemsworth;Action;220000000;1519000000;2012
The SpongeBob Movie: Sponge Out of Water;Paul Tibbitt;92;Tim Conway;Animation;74000000;325000000;2015
This Is Where I Leave You;Shawn Levy;103;Tina Fey;Comedy;19800000;41000000;2014
Valiant;Gary Chapman;76;Jim Broadbent;Animation;35000000;37000000;2005
The Lazarus Effect;David Gelb;83;Olivia Wilde;Horror;3300000;38000000;2015
The Perfect Game;William Dear;118;Clifton Collins Jr.;Comedy;12500000;4000000;2009
We Own the Night;James Gray;117;Robert Duvall;Crime;21000000;54500000;2007
Good Night and Good Luck.;George Clooney;93;Robert Downey Jr.;Biography;7500000;54000000;2005
The Hunger Games: Mockingjay - Part 1;Francis Lawrence;123;Jennifer Lawrence;Adventure;125000000;755000000;2014
The Last Airbender;M. Night Shyamalan;103;Seychelle Gabriel;Action;150000000;319000000;2010
42;Brian Helgeland;128;Harrison Ford;Biography;40000000;97000000;2013
Stonewall;Roland Emmerich;129;Jeremy Irvine;Drama;13500000;190000;2015
The Broken Hearts Club: A Romantic Comedy;Greg Berlanti;94;Justin Theroux;Comedy;1000000;2100000;2000
Valentine's Day;Garry Marshall;125;Bradley Cooper;Comedy;52000000;216000000;2010
Dickie Roberts: Former Child Star;Sam Weisman;98;Kevin Grevioux;Comedy;17000000;23000000;2003
Tusk;Kevin Smith;102;Johnny Depp;Comedy;3000000;1840000;2014
Dear John;Lasse Hallström;108;Channing Tatum;Drama;25000000;114000000;2010
DOA: Dead or Alive;Corey Yuen;87;Steve Howey;Action;21000000;7500000;2006
The Expendables 3;Patrick Hughes;131;Jason Statham;Action;90000000;215000000;2014
The Curious Case of Benjamin Button;David Fincher;166;Brad Pitt;Drama;150000000;336000000;2008
The Ugly Truth;Robert Luketic;96;Gerard Butler;Comedy;38000000;205000000;2009
The Young Messiah;Cyrus Nowrasteh;111;Clive Russell;Drama;18500000;7000000;2016
Red Tails;Anthony Hemingway;125;David Oyelowo;Action;58000000;49000000;2012
Stone;John Curran;105;Robert De Niro;Thriller;22000000;8900000;2010
The Devil Inside;William Brent Bell;83;Fernanda Andrade;Horror;1000000;53000000;2012
Gulliver's Travels;Rob Letterman;85;James Corden;Adventure;112000000;237000000;2010
The Best Exotic Marigold Hotel;John Madden;124;Tom Wilkinson;Comedy;10000000;136000000;2011
The Tigger Movie;Jun Falkenstein;77;Kath Soucie;Animation;30000000;96200000;2000
Hobo with a Shotgun;Jason Eisener;86;Gregory Smith;Action;3000000;748000;2011
Spectre;Sam Mendes;148;Christoph Waltz;Action;245000000;880000000;2015
Foodfight!;Lawrence Kasanoff;91;Jerry Stiller;Animation;65000000;73000;2012
Sorority Boys;Wallace Wolodarsky;93;Heather Matarazzo;Comedy;12000000;12000000;2002
Town & Country;Peter Chelsom;104;Del Zamora;Comedy;90000000;10300000;2001
Jack Reacher;Christopher McQuarrie;130;Tom Cruise;Action;60000000;218000000;2012
The Baader Meinhof Complex;Uli Edel;184;Moritz Bleibtreu;Action;20000000;9000000;2008
Did You Hear About the Morgans?;Marc Lawrence;103;Michael Kelly;Comedy;58000000;34000000;2009
Men with Brooms;Paul Gross;102;Molly Parker;Comedy;7500000;4100000;2002
Terminator Genisys;Alan Taylor;126;J.K. Simmons;Action;155000000;441000000;2015
Arthur Christmas;Sarah Smith;97;Jim Broadbent;Animation;100000000;148000000;2011
Sideways;Alexander Payne;126;Virginia Madsen;Adventure;12000000;160000000;2004
Changeling;Clint Eastwood;141;Angelina Jolie;Crime;55000000;115000000;2008
Eulogy;Michael Clancy;85;Zooey Deschanel;Comedy;6500000;49000000;2004
Bad Lieutenant: Port of Call New Orleans;Werner Herzog;122;Nicolas Cage;Crime;25000000;10000000;2009
Drowning Mona;Nick Gomez;96;Will Ferrell;Comedy;16000000;16000000;2000
Monster-in-Law;Robert Luketic;101;Adam Scott;Comedy;60000000;155000000;2005
Let's Be Cops;Luke Greenfield;104;Rob Riggle;Comedy;17000000;138000000;2014
Spirited Away;Hayao Miyazaki;125;Bunta Sugawara;Animation;19000000;395000000;2001
Wonder Boys;Curtis Hanson;107;Robert Downey Jr.;Comedy;55000000;15500000;2000
Blood Ties;Guillaume Canet;144;Mila Kunis;Crime;25500000;2600000;2013
Idlewild;Bryan Barber;121;Cicely Tyson;Crime;15000000;12000000;2006
Dead Man's Shoes;Shane Meadows;90;Paddy Considine;Crime;695393;6000000;2004
9;Shane Acker;79;Martin Landau;Action;30000000;37000000;2009
A Better Life;Chris Weitz;98;Demián Bichir;Drama;10000000;1900000;2011
Donkey Punch;Oliver Blackburn;99;Julian Morris;Crime;900000;1200000;2008
Escobar: Paradise Lost;Andrea Di Stefano;120;Josh Hutcherson;Crime;17000000;4000000;2014
The Ballad of Jack and Rose;Rebecca Miller;112;Beau Bridges;Drama;1500000;1000000;2005
Before Sunset;Richard Linklater;80;Vernon Dobtcheff;Drama;2700000;16000000;2004
Gosford Park;Robert Altman;131;Kristin Scott Thomas;Drama;19800000;87000000;2001
Zoom;Peter Hewitt;83;Kevin Zegers;Action;35000000;12000000;2006
Shark Lake;Jerry Dugan;92;Melissa Bolona;Thriller;2000000;1500000;2015
Daddy Day Camp;Fred Savage;89;Lochlyn Munro;Comedy;6000000;18000000;2007
Invictus;Clint Eastwood;134;Matt Damon;Biography;60000000;122000000;2009
About a Boy;Chris Weitz;101;Sharon Small;Comedy;30000000;130000000;2002
Aliens in the Attic;John Schultz;86;Malese Jow;Adventure;45000000;58000000;2009
Jonah: A VeggieTales Movie;Mike Nawrocki;82;Phil Vischer;Animation;14000000;25000000;2002
The Brown Bunny;Vincent Gallo;93;Vincent Gallo;Drama;10000000;3000000;2003
Choke;Clark Gregg;92;Anjelica Huston;Comedy;3000000;2900000;2008
Chronicle;Josh Trank;89;Michael Kelly;Sci-Fi;12000000;125000000;2012
Free Birds;Jimmy Hayward;91;Amy Poehler;Animation;55000000;110000000;2013
Notes on a Scandal;Richard Eyre;92;Phil Davis;Crime;15000000;50000000;2006
Small Apartments;Jonas Ã…kerlund;96;Noel Gugliemi;Comedy;2000000;4800000;2012
The Theory of Everything;James Marsh;123;Eddie Redmayne;Biography;15000000;123000000;2014
Albert Nobbs;Rodrigo García;113;Mia Wasikowska;Drama;8000000;5700000;2011
Non-Stop;Jaume Collet-Serra;106;Liam Neeson;Action;50000000;222000000;2014
P.S. I Love You;Richard LaGravenese;126;Gerard Butler;Drama;30000000;156000000;2007
Ted 2;Seth MacFarlane;125;Liam Neeson;Comedy;68000000;214000000;2015
The Campaign;Jay Roach;85;Will Ferrell;Comedy;95000000;104000000;2012
Under the Tuscan Sun;Audrey Wells;113;Raoul Bova;Comedy;18000000;58000000;2003
Top Spin;Sara Newens;80;Ariel Hsing;Documentary;150000;2500000;2014
Young Adult;Jason Reitman;94;Charlize Theron;Comedy;12000000;22800000;2011
25th Hour;Spike Lee;108;Philip Seymour Hoffman;Drama;15000000;24000000;2002
Old School;Todd Phillips;88;Will Ferrell;Comedy;24000000;87000000;2003
The Blue Butterfly;Léa Pool;97;William Hurt;Adventure;12500000;310000;2004
The Outrageous Sophie Tucker;William Gazecki;96;Carol Channing;Documentary;500000;1000000;2014
Not Another Teen Movie;Joel Gallen;99;Chris Evans;Comedy;16000000;66000000;2001
Born of War;Vicky Jewson;109;James Frain;Action;5000000;5000000;2014
Ender's Game;Gavin Hood;114;Harrison Ford;Sci-Fi;110000000;125000000;2013
Monster's Ball;Marc Forster;112;Heath Ledger;Drama;4000000;45000000;2001
Night at the Museum: Secret of the Tomb;Shawn Levy;98;Robin Williams;Adventure;127000000;364000000;2014
The Last House on the Left;Dennis Iliadis;114;Tony Goldwyn;Crime;15000000;4500000;2009
Bad Company;Joel Schumacher;116;Anthony Hopkins;Action;70000000;66000000;2002
Just Go with It;Dennis Dugan;117;Adam Sandler;Comedy;80000000;215000000;2011
Kung Fu Panda 3;Alessandro Carloni;95;J.K. Simmons;Action;145000000;521000000;2016
The Score;Frank Oz;124;Robert De Niro;Crime;68000000;113000000;2001
American Dreamz;Paul Weitz;107;Judy Greer;Comedy;19000000;16000000;2006
Antwone Fisher;Denzel Washington;117;Denzel Washington;Biography;12500000;23000000;2002
The Great Debaters;Denzel Washington;126;Denzel Washington;Biography;15000000;30000000;2007
Underworld: Awakening;Måns Mårlind;88;Theo James;Action;70000000;160000000;2012
Detention;Joseph Kahn;93;Josh Hutcherson;Comedy;10000000;530000;2011
Khumba;Anthony Silverston;85;Liam Neeson;Animation;20000000;28000000;2013
Runner Runner;Brad Furman;88;Justin Timberlake;Crime;30000000;62000000;2013
Happy Feet 2;George Miller;100;Robin Williams;Animation;135000000;150000000;2011
Final Destination;James Wong;98;Daniel Roebuck;Horror;23000000;112000000;2000
Screwed;Scott Alexander;81;Sarah Silverman;Comedy;10000000;7000000;2000
This Is 40;Judd Apatow;134;Charlyne Yi;Comedy;35000000;88000000;2012
Ocean's Thirteen;Steven Soderbergh;122;Al Pacino;Crime;85000000;311000000;2007
Signs;M. Night Shyamalan;106;Rory Culkin;Sci-Fi;72000000;408000000;2002
The Box;Richard Kelly;115;Frank Langella;Drama;16000000;15000000;2009
Ernest & Celestine;Stéphane Aubier;80;Mackenzie Foy;Animation;9600000;9000000;2012
Lucky Numbers;Nora Ephron;105;Michael Rapaport;Comedy;65000000;45000000;2000
Dr. Dolittle 2;Steve Carr;87;Raven-Symoné;Comedy;72000000;176000000;2001
The Color of Freedom;Bille August;118;Terry Pheto;Biography;30000000;30000000;2007
Final Destination 2;David R. Ellis;90;Sarah Carter;Horror;26000000;90000000;2003
Hercules;Brett Ratner;101;Dwayne Johnson;Action;100000000;244000000;2014
Pound of Flesh;Ernie Barbarash;104;Darren Shahlavi;Action;7500000;1000000;2015
The Book of Life;Jorge R. Gutiérrez;95;Channing Tatum;Animation;50000000;99700000;2014
Top Five;Chris Rock;102;Rosario Dawson;Comedy;12000000;26000000;2014
A Very Harold & Kumar 3D Christmas;Todd Strauss-Schulson;90;Patton Oswalt;Adventure;19000000;36000000;2011
Eagle Eye;D.J. Caruso;118;Rosario Dawson;Action;80000000;178000000;2008
Harold & Kumar Escape from Guantanamo Bay;Jon Hurwitz;102;Danneel Ackles;Adventure;12000000;43900000;2008
Once in a Lifetime: The Extraordinary Story of the New York Cosmos;Paul Crowder;97;Pelé;Documentary;1000000;200000;2006
Saved!;Brian Dannelly;92;Macaulay Culkin;Comedy;5000000;9000000;2004
Soul Survivors;Stephen Carpenter;84;Melissa Sagemiller;Thriller;14000000;4000000;2001
Time to Choose;Charles Ferguson;100;Jane Goodall;Documentary;3500000;700000;2015
After Earth;M. Night Shyamalan;100;Will Smith;Action;130000000;244000000;2013
Atlantis: The Lost Empire;Gary Trousdale;95;Leonard Nimoy;Action;120000000;186000000;2001
The Day the Earth Stood Still;Scott Derrickson;104;Keanu Reeves;Sci-Fi;80000000;232000000;2008
I Want Someone to Eat Cheese With;Jeff Garlin;80;Jessy Schram;Comedy;1500000;3000000;2006
Maleficent;Robert Stromberg;97;Angelina Jolie;Action;180000000;758000000;2014
National Treasure;Jon Turteltaub;131;Nicolas Cage;Action;100000000;347000000;2004
Pete's Dragon;David Lowery;102;Bryce Dallas Howard;Adventure;65000000;143000000;2016
Rat Race;Jerry Zucker;112;Corinna Harney;Adventure;48000000;85600000;2001
The Counselor;Ridley Scott;138;Michael Fassbender;Crime;25000000;63000000;2013
God's Not Dead 2;Harold Cronk;120;Benjamin A. Onyango;Drama;5000000;24000000;2016
Old Dogs;Walt Becker;88;Robin Williams;Comedy;35000000;96000000;2009
Original Sin;Michael Cristofer;118;Angelina Jolie;Drama;42000000;36700000;2001
Slow Burn;Wayne Beach;93;Mekhi Phifer;Drama;15500000;6000000;2005
Toy Story 3;Lee Unkrich;103;Tom Hanks;Animation;200000000;500000000;2010
Vanity Fair;Mira Nair;141;Romola Garai;Drama;23000000;26000000;2004
Black or White;Mike Binder;121;Jennifer Ehle;Drama;9000000;21600000;2014
American Wedding;Jesse Dylan;74;Alyson Hannigan;Comedy;55000000;231000000;2003
Teenage Mutant Ninja Turtles: Out of the Shadows;Dave Green;112;Stephen Amell;Action;135000000;245000000;2016
The Flowers of War;Yimou Zhang;146;Christian Bale;Drama;94000000;94000000;2011
V for Vendetta;James McTeigue;132;Natalie Portman;Action;54000000;132000000;2005
Amigo;John Sayles;124;Brian Lee Franklin;Drama;1700000;5200000;2010
High Tension;Alexandre Aja;89;Cécile De France;Horror;2200000;8000000;2003
I Love You Beth Cooper;Chris Columbus;102;Alan Ruck;Comedy;18000000;15000000;2009
Moulin Rouge!;Baz Luhrmann;127;Jim Broadbent;Drama;52500000;179000000;2001
Waiting...;Rob McKittrick;94;Ryan Reynolds;Comedy;3000000;18000000;2005
How the Grinch Stole Christmas;Ron Howard;110;Clint Howard;Comedy;123000000;345000000;2000
The Interview;Evan Goldberg;112;James Franco;Comedy;44000000;118000000;2014
Another Year;Mike Leigh;129;Jim Broadbent;Comedy;10000000;18700000;2010
The Last Samurai;Edward Zwick;154;Tom Cruise;Action;140000000;456000000;2003
The Longest Yard;Peter Segal;113;Adam Sandler;Comedy;82000000;190000000;2005
Treading Water;Analeine Cal y Mayor;92;Zoë Kravitz;Comedy;4700000;1000000;2013
Bruce Almighty;Tom Shadyac;101;Morgan Freeman;Comedy;81000000;484000000;2003
Star Wars: Episode III - Revenge of the Sith;George Lucas;140;Natalie Portman;Action;113000000;848000000;2005
Charlie's Angels: Full Throttle;McG;107;Demi Moore;Action;120000000;259000000;2003
Clockstoppers;Jonathan Frakes;94;Michael Biehn;Action;26000000;38700000;2002
Marci X;Richard Benjamin;80;Damon Wayans;Comedy;20000000;1000000;2003
Running Scared;Wayne Kramer;122;Paul Walker;Action;17000000;19000000;2006
Divine Secrets of the Ya-Ya Sisterhood;Callie Khouri;116;Ellen Burstyn;Drama;27000000;73000000;2002
Dragon Wars: D-War;Hyung-rae Shim;107;Robert Forster;Action;32000000;75000000;2007
Hanna;Joe Wright;111;Jessica Barden;Action;30000000;40000000;2011
Men of Honor;George Tillman Jr.;129;Robert De Niro;Biography;32000000;33000000;2000
Money Monster;Jodie Foster;98;Julia Roberts;Crime;27000000;93000000;2016
Precious;Lee Daniels;109;Mo'Nique;Drama;10000000;64000000;2009
Iraq for Sale: The War Profiteers;Robert Greenwald;75;Scott Helvenston;Documentary;750000;2000000;2006
Poolhall Junkies;Mars Callahan;99;Chazz Palminteri;Thriller;4000000;1000000;2002
Aqua Teen Hunger Force Colon Movie Film for Theaters;Matt Maiellaro;86;Tina Fey;Action;750000;5500000;2007
Gangs of New York;Martin Scorsese;216;Leonardo DiCaprio;Crime;100000000;194000000;2002
Snow White and the Huntsman;Rupert Sanders;132;Chris Hemsworth;Action;170000000;397000000;2012
Down to You;Kris Isacsson;91;Rosario Dawson;Comedy;9000000;24000000;2000
Remember Me My Love;Gabriele Muccino;125;Laura Morante;Comedy;5000000;7000000;2003
Spider;David Cronenberg;98;Miranda Richardson;Drama;8000000;5000000;2002
Red Sky;Mario Van Peebles;100;Martin Kove;Action;25000000;2000000;2014
The Amityville Horror;Andrew Douglas;90;Jimmy Bennett;Thriller;19000000;107000000;2005
Halloween II;Rob Zombie;119;Scout Taylor-Compton;Horror;15000000;39000000;2009
Slumdog Millionaire;Danny Boyle;120;Anil Kapoor;Drama;15000000;377000000;2008
Spider-Man;Sam Raimi;121;J.K. Simmons;Action;139000000;821000000;2002
Dumb and Dumber To;Bobby Farrelly;109;Bill Murray;Comedy;35000000;169000000;2014
Kung Fu Panda 2;Jennifer Yuh Nelson;90;Angelina Jolie;Action;150000000;665000000;2011
City of Ember;Gil Kenan;90;Bill Murray;Adventure;55000000;17900000;2008
Control;Anton Corbijn;122;Sam Riley;Biography;6400000;9000000;2007
Crocodile Dundee in Los Angeles;Simon Wincer;92;Jere Burns;Adventure;21150000;39000000;2001
Despicable Me;Pierre Coffin;87;Steve Carell;Animation;69000000;543000000;2010
For a Good Time Call...;Jamie Travis;88;James Wolk;Comedy;850000;14600000;2012
Marley & Me;David Frankel;115;Eric Dane;Comedy;60000000;242000000;2008
What Women Want;Nancy Meyers;127;Judy Greer;Comedy;70000000;182000000;2000
Barnyard;Steve Oedekerk;90;Rob Paulsen;Animation;51000000;117000000;2006
Love Actually;Richard Curtis;129;Colin Firth;Comedy;45000000;248000000;2003
Far from Men;David Oelhoffen;101;Viggo Mortensen;Drama;7700000;3100000;2014
Ghost Town;David Koepp;102;Aasif Mandvi;Comedy;20000000;27000000;2008
Her;Spike Jonze;126;Scarlett Johansson;Drama;23000000;48000000;2013
King's Ransom;Jeffrey W. Byrd;95;Donald Faison;Comedy;15000000;4000000;2005
Baby Boy;John Singleton;130;Mo'Nique;Crime;16000000;29000000;2001
Good;Vicente Amorim;92;Viggo Mortensen;Drama;15000000;3000000;2008
Brooklyn Rules;Michael Corrente;99;Jerry Ferrara;Crime;8000000;9000000;2007
Munich;Steven Spielberg;163;Ayelet Zurer;Drama;70000000;130000000;2005
Dolphin Tale 2;Charles Martin Smith;107;Morgan Freeman;Drama;36000000;40000000;2014
A Serious Man;Ethan Coen;106;Michael Stuhlbarg;Comedy;7000000;6000000;2009
Friends with Money;Nicole Holofcener;88;Greg Germann;Comedy;6500000;18000000;2006
The Back-up Plan;Alan Poul;104;Danneel Ackles;Comedy;35000000;80000000;2010
Resident Evil;Paul W.S. Anderson;100;Milla Jovovich;Action;33000000;102000000;2002
Battlefield Earth;Roger Christian;119;Richard Tyson;Action;44000000;29000000;2000
S.W.A.T.;Clark Johnson;117;Jeremy Renner;Action;80000000;207000000;2003
Spring Breakers;Harmony Korine;94;James Franco;Crime;5000000;14000000;2012
The Hoax;Lasse Hallström;116;Hope Davis;Comedy;25000000;11000000;2006
The Time Machine;Simon Wells;96;Mark Addy;Action;80000000;123000000;2002
The Unborn;David S. Goyer;89;Gary Oldman;Drama;16000000;76000000;2009
Two Lovers;James Gray;110;Isabella Rossellini;Drama;12000000;16800000;2008
Adore;Anne Fontaine;112;Robin Wright;Drama;16000000;2500000;2013
Alice in Wonderland;Tim Burton;108;Johnny Depp;Adventure;200000000;1020000000;2010
The Rundown;Peter Berg;104;Dwayne Johnson;Action;85000000;86000000;2003
Big Trouble;Barry Sonnenfeld;74;Zooey Deschanel;Comedy;40000000;50000000;2002
Bowling for Columbine;Michael Moore;120;Michael Moore;Documentary;4000000;58000000;2002
Hit and Run;David Palmer;100;Bradley Cooper;Action;2000000;14000000;2012
Kiss the Bride;C. Jay Cox;100;Tori Spelling;Comedy;500000;600000;2007
Mindhunters;Renny Harlin;101;LL Cool J;Crime;27000000;4000000;2004
Pompeii;Paul W.S. Anderson;105;Sasha Roiz;Action;80000000;117000000;2014
Hearts in Atlantis;Scott Hicks;101;Anthony Hopkins;Drama;31000000;50000000;2001
High School Musical;Kenny Ortega;98;Lucas Grabeel;Comedy;4200000;211000000;2006
Howl's Moving Castle;Hayao Miyazaki;119;Christian Bale;Animation;24000000;235000000;2004
Igby Goes Down;Burr Steers;99;Kieran Culkin;Comedy;9000000;6900000;2002
Last Vegas;Jon Turteltaub;105;Robert De Niro;Comedy;28000000;135000000;2013
American Gangster;Ridley Scott;176;Denzel Washington;Biography;100000000;266000000;2007
Lone Survivor;Peter Berg;121;Jerry Ferrara;Action;40000000;155000000;2013
30 Minutes or Less;Ruben Fleischer;83;Bianca Kajlich;Action;28000000;40000000;2011
No Strings Attached;Ivan Reitman;108;Natalie Portman;Comedy;25000000;149000000;2011
Cop Out;Kevin Smith;107;Bruce Willis;Action;37000000;58000000;2010
Broken City;Allen Hughes;109;Alona Tal;Crime;35000000;35000000;2013
Coyote Ugly;David McNally;107;Adam Garcia;Comedy;45000000;114000000;2000
I Want Your Money;Ray Griggs;92;Bill Farmer;Documentary;400000;1000000;2010
Sunshine;Danny Boyle;107;Chris Evans;Adventure;26000000;32700000;2007
Superbad;Greg Mottola;119;Emma Stone;Comedy;20000000;169000000;2007
The Frozen Ground;Scott Walker;105;Nicolas Cage;Crime;27220000;5000000;2013
The Quiet American;Phillip Noyce;101;Brendan Fraser;Drama;30000000;28000000;2002
The Squid and the Whale;Noah Baumbach;88;William Baldwin;Comedy;1500000;12000000;2005
Jay and Silent Bob Strike Back;Kevin Smith;104;Will Ferrell;Comedy;22000000;33900000;2001
Underworld: Evolution;Len Wiseman;102;Sophia Myles;Action;50000000;62600000;2006
