Movie Title;Director;Running time;Main Actor;Genre;Budget;Box Office;Release year
Hotel Transylvania 2;Genndy Tartakovsky;89;Steve Buscemi;Animation;80000000;474000000;2015
Bullet to the Head;Walter Hill;92;Sylvester Stallone;Action;55000000;48000000;2012
Haywire;Steven Soderbergh;93;Channing Tatum;Action;23000000;34000000;2011
Moneyball;Bennett Miller;133;Philip Seymour Hoffman;Biography;50000000;110000000;2011
Vamps;Amy Heckerling;92;Taylor Negron;Comedy;16000000;1000000;2012
Big Eyes;Tim Burton;106;Christoph Waltz;Biography;10000000;29300000;2014
Inside Out;Pete Docter;95;Amy Poehler;Animation;175000000;858000000;2015
Pooh's Heffalump Movie;Frank Nissen;68;Kath Soucie;Animation;20000000;18000000;2005
Take Shelter;Jeff Nichols;121;Katy Mixon;Thriller;5000000;3000000;2011
Triangle;Christopher Smith;99;Rachael Carpani;Horror;12000000;1500000;2009
Diary of a Wimpy Kid: Dog Days;David Bowers;94;Zachary Gordon;Comedy;22000000;77000000;2012
Final Destination 3;James Wong;86;Chelan Simmons;Horror;25000000;117000000;2006
Joy Ride;John Dahl;97;Paul Walker;Mystery;23000000;22000000;2001
Our Brand Is Crisis;David Gordon Green;107;Dominic Flores;Comedy;28000000;8000000;2015
Over the Hedge;Tim Johnson;83;Bruce Willis;Animation;80000000;336000000;2006
Saw V;David Hackl;95;Julie Benz;Horror;10800000;140000000;2008
Alone with Her;Eric Nicholas;78;Jordana Spiro;Crime;1000000;5000000;2006
Joyeux Noel;Christian Carion;116;Gary Lewis;Drama;22000000;17000000;2005
Space Chimps;Kirk De Micco;81;Cheryl Hines;Animation;37000000;65000000;2008
The Last Legion;Doug Lefler;102;Colin Firth;Action;35000000;20000000;2007
The Odd Life of Timothy Green;Peter Hedges;105;Jennifer Garner;Comedy;25000000;56400000;2012
Blue Ruin;Jeremy Saulnier;90;Devin Ratray;Crime;1066167;1000000;2013
Dallas Buyers Club;Jean-Marc Vallée;117;Matthew McConaughey;Biography;5000000;55100000;2013
Diary of a Wimpy Kid: Rodrick Rules;David Bowers;99;Zachary Gordon;Comedy;21000000;72000000;2011
Freakonomics;Heidi Ewing;93;Greg Crowe;Documentary;3000000;2000000;2010
House of Sand and Fog;Vadim Perelman;126;Frances Fisher;Drama;15000000;22000000;2003
Raising Victor Vargas;Peter Sollett;88;Victor Rasuk;Drama;800000;2000000;2002
Stomp the Yard;Sylvain White;109;Chris Brown;Drama;14000000;75000000;2007
The Hitchhiker's Guide to the Galaxy;Garth Jennings;109;Zooey Deschanel;Adventure;50000000;104000000;2005
The Wild Thornberrys Movie;Cathy Malkasian;85;Alfre Woodard;Animation;25000000;60700000;2002
The World's End;Edgar Wright;109;Michael Smiley;Action;20000000;46000000;2013
Philomena;Stephen Frears;98;Steve Coogan;Biography;12000000;100000000;2013
Sharknado;Anthony C. Ferrante;97;Ian Ziering;Horror;1000000;3000000;2013
2046;Kar-Wai Wong;129;Li Gong;Drama;12000000;123000000;2004
The Animal;Luke Greenfield;84;Louis Lombardi;Comedy;22000000;85000000;2001
Who Killed the Electric Car?;Chris Paine;92;Ed Begley Jr.;Documentary;1000000;2000000;2006
After the Sunset;Brett Ratner;97;Salma Hayek;Action;58000000;50000000;2004
The Fourth Kind;Olatunde Osunsanmi;98;Milla Jovovich;Mystery;10000000;47000000;2009
The Marine 4: Moving Target;William Kaufman;90;Paul McGillion;Action;1950000;2000000;2015
Ocean's Eleven;Steven Soderbergh;116;Brad Pitt;Crime;85000000;451000000;2001
A Good Year;Ridley Scott;117;Archie Panjabi;Comedy;35000000;43000000;2006
As It Is in Heaven;Kay Pollak;133;Michael Nyqvist;Comedy;25000000;60700000;2004
Fear Clinic;Robert Hall;95;Angelina Armani;Horror;1000000;21000000;2015
The Death and Life of Bobby Z;John Herzfeld;97;Paul Walker;Action;22000000;24000000;2007
Get Rich or Die Tryin';Jim Sheridan;117;50 Cent;Biography;40000000;46000000;2005
Lady in the Water;M. Night Shyamalan;110;Bryce Dallas Howard;Drama;70000000;72000000;2006
Novocaine;David Atkins;95;Chelcie Ross;Comedy;6000000;2400000;2001
Rush;Ron Howard;123;Chris Hemsworth;Action;38000000;98000000;2013
The Dangerous Lives of Altar Boys;Peter Care;104;Kieran Culkin;Comedy;12000000;2000000;2002
America's Sweethearts;Joe Roth;102;Julia Roberts;Comedy;48000000;93100000;2001
The 6th Day;Roger Spottiswoode;123;Robert Duvall;Action;82000000;96000000;2000
The Emperor's New Groove;Mark Dindal;78;Eartha Kitt;Animation;100000000;169000000;2000
Hachi: A Dog's Tale;Lasse Hallström;93;Cary-Hiroyuki Tagawa;Drama;16000000;46000000;2009
Madagascar 3: Europe's Most Wanted;Eric Darnell;93;Jada Pinkett Smith;Animation;145000000;746000000;2012
Raising Helen;Garry Marshall;119;Amber Valletta;Comedy;50000000;49700000;2004
The Aviator;Martin Scorsese;170;Leonardo DiCaprio;Biography;110000000;213000000;2004
Rubber;Quentin Dupieux;82;Haley Ramm;Comedy;500000;1000000;2010
The SpongeBob SquarePants Movie;Stephen Hillenburg;87;Scarlett Johansson;Animation;30000000;140000000;2004
It's Complicated;Nancy Meyers;120;Meryl Streep;Comedy;85000000;219000000;2009
The Book of Eli;Albert Hughes;118;Denzel Washington;Action;80000000;157000000;2010
Kit Kittredge: An American Girl;Patricia Rozema;101;Julia Ormond;Drama;10000000;17000000;2008
The Informant!;Steven Soderbergh;108;Matt Damon;Comedy;21000000;41000000;2009
Where the Truth Lies;Atom Egoyan;107;Colin Firth;Crime;25000000;3500000;2005
Charlie and the Chocolate Factory;Tim Burton;115;Johnny Depp;Adventure;150000000;475000000;2005
Out Cold;Brendan Malloy;89;Lee Majors;Comedy;11000000;14700000;2001
Mondays in the Sun;Fernando León de Aranoa;113;Luis Tosar;Comedy;4000000;5000000;2002
Osmosis Jones;Bobby Farrelly;95;Ron Howard;Action;70000000;14000000;2001
Snitch;Ric Roman Waugh;112;Dwayne Johnson;Action;15000000;57000000;2013
The Sisterhood of Night;Caryn Waechter;104;Laura Fraser;Drama;1000000;6300000;2014
Wild;Jean-Marc Vallée;115;Michiel Huisman;Biography;15000000;52000000;2014
Ice Age: The Meltdown;Carlos Saldanha;115;Denis Leary;Action;80000000;660000000;2006
Tsotsi;Gavin Hood;94;Terry Pheto;Crime;3000000;9000000;2005
3000 Miles to Graceland;Demian Lichtenstein;125;Jon Lovitz;Action;42000000;77000000;2001
Monster;Patty Jenkins;109;Charlize Theron;Biography;4500000;60000000;2003
Stealing Harvard;Bruce McCulloch;85;Martin Starr;Comedy;25000000;16000000;2002
All the Pretty Horses;Billy Bob Thornton;220;Matt Damon;Drama;57000000;18000000;2000
The Benchwarmers;Dennis Dugan;75;Jon Lovitz;Comedy;33000000;57000000;2006
Alfie;Charles Shyer;103;Omar Epps;Comedy;60000000;55000000;2004
Broken Horses;Vidhu Vinod Chopra;101;María Valverde;Action;15000000;2000000;2015
May;Lucky McKee;93;James Duval;Thriller;500000;1500000;2002
The Forsaken;J.S. Cardone;90;Brendan Fehr;Horror;5000000;7000000;2001
The Manchurian Candidate;Jonathan Demme;129;Denzel Washington;Drama;80000000;96000000;2004
Strangerland;Kim Farrant;112;Nicholas Hamilton;Drama;10000000;850000;2015
The Descent;Neil Marshall;100;MyAnna Buring;Horror;3500000;57000000;2005
Digimon: The Movie;Mamoru Hosoda;82;Lara Jill Miller;Action;5000000;16000000;2000
Made in Dagenham;Nigel Cole;113;Bob Hoskins;Biography;7200000;16000000;2010
Victor Frankenstein;Paul McGuigan;110;Daniel Radcliffe;Thriller;40000000;43000000;2015
You Will Meet a Tall Dark Stranger;Woody Allen;98;Anthony Hopkins;Comedy;22000000;22000000;2010
Everest;Baltasar Kormákur;121;Michael Kelly;Biography;55000000;207000000;2015
Miss Congeniality;Donald Petrie;109;Candice Bergen;Action;45000000;212000000;2000
40 Days and 40 Nights;Michael Lehmann;96;Emmanuelle Vaugier;Comedy;17000000;95000000;2002
No Reservations;Scott Hicks;104;Zoë Kravitz;Comedy;28000000;92000000;2007
The Chorus;Christophe Barratier;97;Jean-Baptiste Maunier;Drama;5500000;84000000;2004
Drive Angry;Patrick Lussier;104;Nicolas Cage;Action;50000000;29000000;2011
Say It Isn't So;J.B. Rogers;95;Eddie Cibrian;Comedy;25000000;12600000;2001
The Soloist;Joe Wright;117;Robert Downey Jr.;Biography;60000000;26000000;2009
Bolt;Byron Howard;96;Chloë Grace Moretz;Animation;150000000;309000000;2008
Joy;David O. Russell;124;Jennifer Lawrence;Biography;60000000;101000000;2015
Monsters;Gareth Edwards;94;Scoot McNairy;Sci-Fi;500000;4000000;2010
Vantage Point;Pete Travis;90;Dennis Quaid;Crime;40000000;77000000;2008
White Chicks;Keenen Ivory Wayans;109;Busy Philipps;Comedy;37000000;113000000;2004
Bride Wars;Gary Winick;89;Anne Hathaway;Comedy;30000000;114000000;2009
City of Life and Death;Chuan Lu;132;Ye Liu;Drama;12000000;2000000;2009
Cloud Atlas;Tom Tykwer;172;Tom Hanks;Sci-Fi;102000000;130000000;2012
Dirty Pretty Things;Stephen Frears;97;Sophie Okonedo;Crime;10000000;13000000;2002
District 9;Neill Blomkamp;112;Sharlto Copley;Sci-Fi;30000000;115000000;2009
High Fidelity;Stephen Frears;113;Drake Bell;Comedy;20000000;47000000;2000
Inescapable;Ruba Nadda;93;Saad Siddiqui;Drama;4000000;2000000;2012
Alpha and Omega;Anthony Bell;90;Kevin Sussman;Animation;20000000;24000000;2010
The Secret Life of Bees;Gina Prince-Bythewood;110;Nate Parker;Drama;11000000;39000000;2008
All or Nothing;Mike Leigh;121;Lesley Manville;Drama;9000000;3900000;2002
Oblivion;Joseph Kosinski;124;Morgan Freeman;Action;120000000;286000000;2013
Partition;Vic Sarin;116;Jimi Mistry;Drama;10000000;1000000;2007
Rio;Carlos Saldanha;96;Anne Hathaway;Animation;90000000;484000000;2011
The Game of Their Lives;David Anspaugh;101;Gerard Butler;Drama;20000000;3900000;2005
There Be Dragons;Roland Joffé;102;Jordi MollÃ ;Biography;36000000;6000000;2011
What's the Worst That Could Happen?;Sam Weisman;94;Bernie Mac;Comedy;45000000;57200000;2001
Mirror Mirror;Tarsem Singh;106;Julia Roberts;Adventure;85000000;183000000;2012
Alvin and the Chipmunks;Tim Hill;92;Jesse McCartney;Animation;60000000;361000000;2007
School for Scoundrels;Todd Phillips;108;Jon Heder;Comedy;20000000;17000000;2006
Escape Plan;Mikael Håfström;115;Sylvester Stallone;Action;50000000;138000000;2013
Killer Elite;Gary McKendry;116;Jason Statham;Action;35000000;57000000;2011
Out of the Furnace;Scott Cooper;116;Christian Bale;Crime;22000000;15000000;2013
Secondhand Lions;Tim McCanlies;111;Haley Joel Osment;Comedy;30000000;45000000;2003
The Infiltrator;Brad Furman;127;Joseph Gilgun;Biography;25000000;21600000;2016
The Skulls;Rob Cohen;106;Paul Walker;Action;15000000;35000000;2000
Freeze Frame;John Simpson;99;Colin Salmon;Crime;2000000;2500000;2004
Garden State;Zach Braff;102;Armando Riesco;Comedy;2500000;35000000;2004
Life of Pi;Ang Lee;127;Suraj Sharma;Adventure;120000000;609000000;2012
Captain Corelli's Mandolin;John Madden;131;Christian Bale;Drama;57000000;60000000;2001
Ella Enchanted;Tommy O'Haver;96;Anne Hathaway;Comedy;35000000;27000000;2004
Ice Age: Continental Drift;Steve Martino;88;Peter Dinklage;Animation;95000000;877000000;2012
An Education;Lone Scherfig;100;Dominic Cooper;Drama;4500000;26000000;2009
